Datetime,Price,Daily Rets,Log Rets,SMA100,EMA20,VMA20,Position 1,Position 2,Position 1 Log,P1 Long-Short CumRet,Position 2 Log,P2 Long Only CumRet,Position 3,Position 4,Position 3 Log,P3 Long-Short CumRet,Position 4 Log,P4 Long Only CumRet,Buy & Hold CumRet
2014-11-03,324.467934,,,,,,-1,0,,,,,-1,0,,,,,
2014-11-04,328.644408,0.012871761928868963,0.012789624882738996,,,,-1,0,-0.012789624882738996,,0.0,,-1,0,-0.012789624882738996,,0.0,,
2014-11-05,337.921358,0.028227925910730756,0.027836860269206707,,,,-1,0,-0.027836860269206707,,0.0,,-1,0,-0.027836860269206707,,0.0,,
2014-11-06,348.99286,0.03276354612661092,0.0322382637680096,,,,-1,0,-0.0322382637680096,,0.0,,-1,0,-0.0322382637680096,,0.0,,
2014-11-07,341.459753,-0.02158527541222488,-0.02182164506197882,,,,-1,0,0.02182164506197882,,-0.0,,-1,0,0.02182164506197882,,-0.0,,
2014-11-08,344.745289,0.009622030037607532,0.009576033126976028,,,,-1,0,-0.009576033126976028,,0.0,,-1,0,-0.009576033126976028,,0.0,,
2014-11-09,357.239982,0.0362432595851947,0.035601922823963746,,,,-1,0,-0.035601922823963746,,0.0,,-1,0,-0.035601922823963746,,0.0,,
2014-11-10,371.116917,0.03884485415744976,0.03810937869354032,,,,-1,0,-0.03810937869354032,,0.0,,-1,0,-0.03810937869354032,,0.0,,
2014-11-11,366.664633,-0.011996984766932672,-0.012069529383594835,,,,-1,0,0.012069529383594835,,-0.0,,-1,0,0.012069529383594835,,-0.0,,
2014-11-12,428.882925,0.1696871920559626,0.1567363558462265,,,,-1,0,-0.1567363558462265,,0.0,,-1,0,-0.1567363558462265,,0.0,,
2014-11-13,418.944218,-0.023173473273621292,-0.023446199791093383,,,,-1,0,0.023446199791093383,,-0.0,,-1,0,0.023446199791093383,,-0.0,,
2014-11-14,399.688315,-0.04596292817197922,-0.047052748930343495,,,,-1,0,0.047052748930343495,,-0.0,,-1,0,0.047052748930343495,,-0.0,,
2014-11-15,374.983975,-0.06180901235503966,-0.0638017391401417,,,,-1,0,0.0638017391401417,,-0.0,,-1,0,0.0638017391401417,,-0.0,,
2014-11-16,388.040069,0.034817738544693944,0.034225313185804455,,,,-1,0,-0.034225313185804455,,0.0,,-1,0,-0.034225313185804455,,0.0,,
2014-11-17,387.062731,-0.0025186522683564583,-0.002521829408843506,,,,-1,0,0.002521829408843506,,-0.0,,-1,0,0.002521829408843506,,-0.0,,
2014-11-18,373.7797,-0.03431751480097933,-0.0349201890702707,,,,-1,0,0.0349201890702707,,-0.0,,-1,0,0.0349201890702707,,-0.0,,
2014-11-19,378.013084,0.01132587992338796,0.011262222346486358,,,,-1,0,-0.011262222346486358,,0.0,,-1,0,-0.011262222346486358,,0.0,,
2014-11-20,356.750538,-0.05624817473249155,-0.05789204436248578,,,,-1,0,0.05789204436248578,,-0.0,,-1,0,0.05789204436248578,,-0.0,,
2014-11-21,350.599464,-0.01724194736883622,-0.01739232073646608,,,,-1,0,0.01739232073646608,,-0.0,,-1,0,0.01739232073646608,,-0.0,,
2014-11-22,352.080105,0.004223169605302113,0.004214277052259695,,366.5039129,366.5039129,-1,0,-0.004214277052259695,,0.0,,-1,0,-0.004214277052259695,,0.0,,
2014-11-23,366.424325,0.04074135344852836,0.03993329905798297,,366.4963331,366.50315492,-1,0,-0.03993329905798297,,0.0,,-1,0,-0.03993329905798297,,0.0,,
2014-11-24,376.211826,0.02671083858856793,0.026360331991096362,,367.42161813809525,366.59561845409524,-1,0,-0.026360331991096362,,0.0,,-1,0,-0.026360331991096362,,0.0,,
2014-11-25,376.917086,0.0018746353816108119,0.0018728804456049522,,368.3259484106576,366.69391814500864,-1,0,-0.0018728804456049522,,0.0,,-1,0,-0.0018728804456049522,,0.0,,
2014-11-26,369.402421,-0.019937183213816878,-0.020138610610345924,,368.42846960964255,366.69391814500864,-1,0,0.020138610610345924,,-0.0,,-1,0,0.020138610610345924,,-0.0,,
2014-11-27,369.807768,0.0010973046654720875,0.001096703066758818,,368.5598313611051,366.7235738579133,-1,0,-0.001096703066758818,,0.0,,-1,0,-0.001096703066758818,,0.0,,
2014-11-28,377.078294,0.01966028469147796,0.01946951759726265,,369.37111351719034,366.82219024021896,-1,0,-0.01946951759726265,,0.0,,-1,0,-0.01946951759726265,,0.0,,
2014-11-29,375.964613,-0.0029534476466047677,-0.002957817679669038,,369.9990658488865,366.82219024021896,-1,0,0.002957817679669038,,-0.0,,-1,0,0.002957817679669038,,-0.0,,
2014-11-30,377.568288,0.004265494529401392,0.004256423094566365,,370.71994414899257,366.82219024021896,-1,0,-0.004256423094566365,,0.0,,-1,0,-0.004256423094566365,,0.0,,
2014-12-01,380.535819,0.00785958750857807,0.00782886183972518,,371.654789372898,366.9527962284074,-1,0,-0.00782886183972518,,0.0,,-1,0,-0.00782886183972518,,0.0,,
2014-12-02,382.810282,0.005977001076999722,0.005959209663728251,,372.7172172421458,367.1038199024226,-1,0,-0.005959209663728251,,0.0,,-1,0,-0.005959209663728251,,0.0,,
2014-12-03,376.230628,-0.017187767177058055,-0.0173371915027848,,373.0518277905129,367.19074188430426,-1,0,0.0173371915027848,,-0.0,,-1,0,0.0173371915027848,,-0.0,,
2014-12-04,370.539639,-0.015126330969524315,-0.015241900826792474,,372.81257171522594,367.222636142549,-1,0,0.015241900826792474,,-0.0,,-1,0,0.015241900826792474,,-0.0,,
