Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,3/19/2015,261.245227,256.755309,266.809039,247.104208
BTC,3/20/2015,261.911313,261.245144,265.444626,258.974263
BTC,3/21/2015,260.02965,261.911313,262.526501,254.340253
BTC,3/22/2015,267.971116,260.02965,270.469296,259.692149
BTC,3/23/2015,266.927723,267.971116,271.020612,261.784855
BTC,3/24/2015,245.695011,266.927723,267.494916,241.94903
BTC,3/25/2015,246.015925,245.691335,249.362733,235.44848
BTC,3/26/2015,248.738336,246.015927,254.950849,244.279417
BTC,3/27/2015,246.530862,248.738336,250.126064,244.805603
BTC,3/28/2015,252.839993,246.469135,255.068954,246.465267
BTC,3/29/2015,242.686084,252.840007,252.883896,239.373865
BTC,3/30/2015,247.403936,242.686084,250.081588,236.630817
BTC,3/31/2015,244.428673,247.403936,248.646136,242.444909
BTC,4/1/2015,246.999828,244.428673,248.090131,239.284422
BTC,4/2/2015,253.21255,246.999828,254.702497,244.982355
BTC,4/3/2015,254.398705,253.21255,256.617934,251.695733
BTC,4/4/2015,253.847543,254.398705,255.792689,250.808998
BTC,4/5/2015,260.857954,253.847543,261.415796,252.005728
BTC,4/6/2015,255.764292,260.761743,262.347389,253.830135
BTC,4/7/2015,253.805465,255.835559,257.012859,253.093175
BTC,4/8/2015,244.955356,253.805471,254.557704,242.973094
BTC,4/9/2015,243.625348,244.955356,246.263161,236.910141
BTC,4/10/2015,236.135806,243.625348,243.773747,231.567193
BTC,4/11/2015,236.788708,236.135806,240.060877,233.853763
BTC,4/12/2015,236.261576,236.788708,238.235137,233.042963
BTC,4/13/2015,224.627105,236.261576,237.495016,220.450184
BTC,4/14/2015,219.810443,224.627105,225.432447,216.34996
BTC,4/15/2015,223.909151,219.810443,224.010774,218.806182
BTC,4/16/2015,228.23524,223.909151,229.786598,223.272715
BTC,4/17/2015,222.329594,228.120249,228.858017,219.843808
BTC,4/18/2015,223.041124,222.329532,224.123667,220.141527
BTC,4/19/2015,222.085733,223.041816,226.554713,221.824122
BTC,4/20/2015,224.23028,222.085738,226.591481,221.369145
BTC,4/21/2015,235.339103,224.230271,236.11687,224.114485
BTC,4/22/2015,234.104639,235.339103,238.616168,233.131038
BTC,4/23/2015,236.008938,234.104924,236.677395,233.012038
BTC,4/24/2015,231.086402,236.008944,236.035794,229.306208
BTC,4/25/2015,226.098491,231.086124,232.588265,225.894234
BTC,4/26/2015,219.515292,226.098495,226.922599,214.401023
BTC,4/27/2015,227.074393,219.51519,231.653368,217.780237
BTC,4/28/2015,225.216036,227.074393,227.711433,222.117604
BTC,4/29/2015,225.062381,225.248909,226.968123,222.517011
BTC,4/30/2015,236.122786,225.062389,240.255439,224.249974
BTC,5/1/2015,231.504339,236.137827,238.94161,231.144435
BTC,5/2/2015,234.69621,231.504339,235.772532,231.475909
BTC,5/3/2015,239.889759,234.69621,243.367719,233.575812
BTC,5/4/2015,238.52921,239.889759,242.62364,237.037833
BTC,5/5/2015,235.953669,238.529185,239.14004,231.372827
BTC,5/6/2015,229.248823,235.953762,236.449129,227.836685
BTC,5/7/2015,237.252183,229.248823,239.730028,227.879357
BTC,5/8/2015,244.166836,237.252183,246.7322,235.984823
BTC,5/9/2015,242.122048,244.166836,247.892568,238.635456
BTC,5/10/2015,240.314888,242.12202,244.665093,238.491417
BTC,5/11/2015,242.089965,240.314888,244.759415,238.931574
BTC,5/12/2015,241.143347,242.206842,243.065187,239.926576
BTC,5/13/2015,235.749295,241.144426,243.990408,234.852084
BTC,5/14/2015,236.749797,235.749292,238.179161,232.206326
BTC,5/15/2015,237.148846,236.749965,238.950842,235.291291
BTC,5/16/2015,235.664353,237.147918,237.353101,234.429512
BTC,5/17/2015,236.189902,235.664387,237.565825,235.480389
BTC,5/18/2015,232.917253,236.189902,236.865498,231.44084
BTC,5/19/2015,231.494289,232.917615,233.885278,231.42194
BTC,5/20/2015,234.108395,231.494289,234.747283,231.494289
BTC,5/21/2015,235.140514,234.108393,236.198706,233.606645
BTC,5/22/2015,240.218354,235.140514,240.863245,234.537081
BTC,5/23/2015,238.506004,240.218354,240.752024,237.791758
BTC,5/24/2015,240.428057,238.511978,241.619287,238.016463
BTC,5/25/2015,236.923468,240.428057,240.983139,236.173501
BTC,5/26/2015,236.834355,236.923197,238.016715,235.153878
BTC,5/27/2015,237.065961,236.834745,238.815513,235.713754
BTC,5/28/2015,236.850409,237.065961,238.004264,236.168151
BTC,5/29/2015,236.552162,236.850333,237.10952,234.885598
BTC,5/30/2015,232.938981,236.552154,236.723509,231.329153
BTC,5/31/2015,228.911707,232.939866,233.423539,228.227761
BTC,6/1/2015,222.305276,228.912061,231.002807,220.311718
BTC,6/2/2015,224.940443,222.305276,225.933496,221.581478
BTC,6/3/2015,224.936406,224.940443,226.930689,222.398077
BTC,6/4/2015,223.768013,224.936407,225.749633,223.032845
BTC,6/5/2015,224.48728,223.768625,225.538775,222.575377
BTC,6/6/2015,225.083457,224.48728,225.387009,223.820722
BTC,6/7/2015,222.907579,225.083739,225.921021,222.16292
BTC,6/8/2015,228.389056,222.907579,229.555275,222.65568
BTC,6/9/2015,229.04234,228.389056,231.377198,227.698721
BTC,6/10/2015,228.537431,229.042206,229.723945,227.475505
BTC,6/11/2015,229.575756,228.537431,230.189032,228.495884
BTC,6/12/2015,229.470833,229.575898,230.86707,229.093474
BTC,6/13/2015,232.183886,229.470821,232.854414,228.664854
BTC,6/14/2015,233.653656,232.184352,235.309227,231.74366
BTC,6/15/2015,236.949148,233.65365,237.912085,233.355564
